"Year" "Country" "Country_code" "World_Region" "Purpose_of_trip" "Accommodation_type" "Number_of_trip's_participants" "Nights_spent" "Travel_agency" "Sample_weight" "Total_expenditure" "Expenditure_for_organiser" "Private_expenditure" "Expenditure_on_accommodation" "Restaurant_expenditures" "Expenditure_on_transport" "Expenditure_on_commodities"
"1" 2019 "Egypt" "EKY" "North_Africa" "Private" "Hotel" 6 7 "Yes" 90.87 6150 6150 0 0 0 0 0
"2" 2019 "Montenegro" "MN" "South_Europe" "Private" "Hotel" 5 7 "Yes" 79.34 3510 2845 665 0 0 400 265
"3" 2019 "Nepal" "NPL" "Far_East_Asia" "Business" "Private_accommodation" 3 13 "Yes" 98.34 5050 2727 2323 615 665 0 80
"4" 2019 "Germany" "DEU" "Western_Europe" "Business" "Private_accommodation" 2 7 "No" 117.63 1280 0 1280 600 250 250 180
"5" 2019 "Greece" "GRC" "South_Europe" "Business" "Hotel" 2 3 "Yes" 100.29 1960 1960 0 0 0 0 0
"6" 2019 "Israel" "ISR" "Near_East_Asia" "Private" "Guesthouse" 6 7 "No" 83.33 3220 0 3220 1000 1000 925 50
"7" 2019 "Georgia" "GEO" "Near_East_Asia" "Private" "Hotel" 6 4 "Yes" 86.89 1710 1222 488 362 97 0 29
"8" 2019 "Denmark" "DNK" "North_Europe" "Business" "Private_accommodation" 1 17 "No" 118.24 9720 0 9720 1500 1000 900 6320
"9" 2019 "Germany" "DEU" "Western_Europe" "Private" "Not_rented" 3 5 "No" 106.32 1500 0 1500 0 200 450 850
"10" 2019 "Norway" "NOR" "North_Europe" "Business" "Hotel" 3 14 "Yes" 121.13 8910 0 8910 5600 1400 1910 0
"11" 2019 "Italy" "ITA" "South_Europe" "Private" "Not_rented" 1 10 "No" 129.26 1750 0 1750 0 1000 460 290
"12" 2019 "Croatia" "HRV" "South_Europe" "Private" "Agritourism_accommodation" 4 5 "No" 128.31 5760 0 5760 1200 2400 1200 950
"13" 2019 "Hungary" "HUN" "Eastern_Europe" "Private" "Guesthouse" 4 3 "No" 119.72 1630 0 1630 300 400 300 200
"14" 2019 "Austria" "AUT" "Western_Europe" "Private" "Hotel" 1 5 "No" 73.7 1910 0 1910 600 700 400 100
"15" 2019 "Ukraine" "UKR" "Eastern_Europe" "Private" "Hostel" 6 4 "Yes" 114.12 4130 2124 2006 0 300 0 1400
